name,strategy_type,dataset_mode,freq,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,trade_count
BB_day_60min_100_3.0,BB,day,60min,0.0016652426312890878,0.036539952105019306,0.045573202354043094,-0.14489409163846312,270
TURTLE_all_5min_200_100_40,TURTLE,all,5min,0.004503206615332989,0.09904191364773746,0.045467685846111085,-0.31249076004568554,4433
TURTLE_all_10min_55_20_20,TURTLE,all,10min,0.004223686795176151,0.09413419738251454,0.04486878214952203,-0.29270531534879474,7874
TURTLE_day_5min_200_100_40,TURTLE,day,5min,0.006329045349557472,0.14973970599920536,0.04226698127476662,-0.32261175663857766,1844
TURTLE_day_30min_20_10_14,TURTLE,day,30min,0.005709637485455499,0.14606182681032645,0.03909055233760661,-0.30700301294664234,2496
TURTLE_all_10min_80_30_20,TURTLE,all,10min,0.0033430142799117935,0.09327118370352576,0.03584187684953143,-0.29391262504230264,5761
TURTLE_all_5min_55_20_20,TURTLE,all,5min,0.0033494164729173104,0.09363476969279284,0.03577107610673301,-0.43760753450319456,14773
MA_all_30min_20_60_LS,MA,all,30min,0.0030596095096153686,0.11167999435441872,0.027396218340642424,-0.3963511479223387,1888
TURTLE_all_15min_100_50_20,TURTLE,all,15min,0.0024307804610836925,0.09562445323582018,0.025420071737185534,-0.22860614862805406,2782
TURTLE_all_60min_20_10_14,TURTLE,all,60min,0.002130130083031867,0.09134431602286316,0.02331978798219588,-0.28869151600389187,3005
TURTLE_all_10min_200_100_40,TURTLE,all,10min,0.0011757017986706586,0.09692514064928405,0.012129998376013118,-0.34814715572062505,2250
TURTLE_day_5min_80_30_20,TURTLE,day,5min,0.0005071600982651248,0.14308307469236997,0.003544514956472133,-0.41419160046586423,4560
MA_all_5min_20_60_LS,MA,all,5min,0.00019878936412798254,0.11522965791263885,0.0017251579821463527,-0.40519112402342805,11368
MA_all_10min_50_200_LS,MA,all,10min,-0.0005415213739877744,0.11372261003459865,-0.004761774055511244,-0.3327458730050341,1760
TURTLE_all_15min_20_10_14,TURTLE,all,15min,-0.0011088296164430966,0.09614296899160106,-0.011533132667662496,-0.33055900384997483,10350
MA_all_60min_20_60_LS,MA,all,60min,-0.0021924154350371206,0.10933312463355745,-0.02005261847573874,-0.4245927341956489,1015
TURTLE_all_10min_20_10_14,TURTLE,all,10min,-0.0026380365134548445,0.0966743576046288,-0.027287861836575934,-0.4429689141611488,15045
MA_all_30min_10_30_LS,MA,all,30min,-0.0031204931624929655,0.11195489598495995,-0.02787277086043806,-0.4339031436481201,3855
MA_all_60min_10_30_LS,MA,all,60min,-0.0037701023118477117,0.10994950763231669,-0.03428939695169305,-0.40096139044861767,1988
TURTLE_all_5min_50_20_20,TURTLE,all,5min,-0.0033497085875913157,0.09536574689085402,-0.03512486083105974,-0.5282647240590463,15429
TURTLE_day_60min_80_30_20,TURTLE,day,60min,-0.006742276180723317,0.13415038701463664,-0.05025908855550072,-0.37725768766836465,534
BB_day_30min_100_3.0,BB,day,30min,-0.0019501132690779022,0.03168232571530958,-0.061552087009053305,-0.1844191585885866,456
TURTLE_day_5min_100_50_20,TURTLE,day,5min,-0.012068239586581875,0.15089234643348043,-0.07997913659525503,-0.44964718114359314,3430
MA_day_10min_20_60_LS,MA,day,10min,-0.015871405998219124,0.17483977685161148,-0.09077686030044163,-0.5281055496922292,2310
MA_all_5min_50_200_LS,MA,all,5min,-0.010751320320416924,0.11514694284292479,-0.09337043654804718,-0.4427532816869134,3521
TURTLE_day_10min_55_20_20,TURTLE,day,10min,-0.014601523243588654,0.14212832062182143,-0.10273479050273697,-0.37558914810541266,3536
MA_day_5min_10_30_L,MA,day,5min,-0.012402090719720316,0.11967836201849236,-0.103628513212806,-0.47658393377016073,9511
MA_day_60min_50_200_LS,MA,day,60min,-0.017418123832766197,0.16222155268252014,-0.10737243938759965,-0.6133758224375342,143
MA_day_10min_5_20_L,MA,day,10min,-0.014170328806827226,0.11852367820592734,-0.11955694441246738,-0.5258013123346847,7745
TURTLE_day_15min_20_10_14,TURTLE,day,15min,-0.022364444314409093,0.14611716515083759,-0.15305829600048804,-0.5268724956855042,4567
MA_all_15min_20_60_LS,MA,all,15min,-0.01844129063595723,0.11342612121978282,-0.1625841599592745,-0.5470069922219025,3756
TURTLE_day_10min_50_20_20,TURTLE,day,10min,-0.023632702195750865,0.1443490650671898,-0.16371912200990432,-0.47627014754762664,3680
MA_day_5min_20_60_LS,MA,day,5min,-0.04110670841874553,0.17701294343810908,-0.2322243086880147,-0.6383267134941213,4640
MA_day_30min_10_30_LS,MA,day,30min,-0.040149853650536915,0.17096887304236852,-0.23483721297377452,-0.5528036664883673,1654
